column,do no create,name,type,module,options,label,parentenum,id_name,related module
"   comm_ops_age__c numeric(19),",,,,a,,,,,
"   date_submitted_to_comm_ops__c date,",,,,a,,,,,
"   total_time_with_comm_ops__c numeric(19),",,,,a,,,,,
"   forecasting_category__c varchar(1300),",,,,a,,,,,
"   stage__c varchar(1300),",,,,a,,,,,
"   submit_to_comm_ops__c varchar(1300),",,,,a,,,,,
"   ts_request_accepted__c date,",,,,a,,TS Request Accepted,,,
"   ts_author_contract__c date,",,,,a,,TS Author Contract,,,
"   ts_mmodal_redline_review__c date,",,,,a,,TS MModal Redline Review,,,
"   ts_client_redline_review__c date,",,,,a,,TS Client Redline Review,,,
"   ts_partially_executed_received__c date,",,,,a,,TS Partially Executed Received,,,
"   ts_submitted_to_comm_ops__c date,",,,,a,,TS Submitted to Comm Ops,,,
"   ts_client_inital_review__c date,",,,,a,,TS Client Initial Review,,,
"   awaiting_information_detail__c varchar(255),",,,,a,,,,,
"   cancellation_reason__c varchar(255),",,,,a,,,,,
"   baa_attachment_number__c numeric(19),",,,,a,,BAA Attachment Number,,,
"   coding_global_permissions__c varchar(255),",,,enum,s,global_permissions_list,,,,
"   coding_global_permitted__c bool NOT NULL,",,,,s,,,,,
"   gma_termination_prior_to_renewal_days__c numeric(19),",,,,a,,GMA Termination Prior to Renewal Days,,,
"   submitted_to_opr_days__c numeric(19),",,,,a,,,,,
"   request_to_comm_ops_days__c numeric(19),",,,,a,,,,,
"   ff_fix_send_to_other_party_for_review__c varchar(1300),",,,,p,,FF Fix Send to Other Party for Review,,,
"   ff_fix_send_to_other_party_signatures__c varchar(1300),",,,,p,,FF Fix Send to Other Party Signatures,,,
"   general_terms_and_conditions__c varchar(255),",,,enum,a,gen_terms_and_conds_list,,,,
"   t_c_version__c date,",,,,a,,GTC Version Date,,,
"   tos_term_for_convenience__c varchar(255),",,,,s,,TOS Term for Convenience,,,
"   fft_term_for_convenience__c varchar(255),",,,,s,,FFT Term for Convenience,,,
"   coding_term_for_convenience__c varchar(255),",,,,p,,,,,
"   product_term_for_convenience__c varchar(255),",,,enum,p,tos_term_for_conv_list,Support Term for Convenience,,,
"   product_term_for_convenien__c numeric(19),",,,,p,,Support Term for Convenience Notice(DD),,,
"   tos_price_increase_during_initial_term__c bool NOT NULL,",,,,s,,TOS Price Increase During Initial Term,,,
"   product_billing_terms__c bool NOT NULL,",,,,p,,Standard Product Billing Terms,,,
"   product_price_increase__c varchar(255),",,,enum,p,pricing_increase_list,,,,
"   dq_paymentterms__c numeric(19),",,,,a,,DQ PaymentTerms,,,
"   cia_pricing_discount__c bool NOT NULL,",,,,p,,CIA Pricing Discount,,,
"   gma_pricing_discount__c bool NOT NULL,",,,,p,,GMA Pricing Discount,,,
"   product_subscription_auto_renewal__c bool NOT NULL,",,,,p,,,,,
"   strategic_deal__c bool NOT NULL,",,,,a,,,,,
"   strategic_deal_description__c varchar(255),",,,,a,,,,,
"   dq_strategicdeal__c numeric(19),",,,,a,,DQ Strategic Deal,,,
"   dq_tos_term_mm__c numeric(19),",,,,a,,DQ TOS Term MM,,,
"   dq_tos_term_for_convenience__c numeric(19),",,,,a,,DQ TOS Term for Convenience,,,
"   dq_tos_term_for_convenience_notice_dd__c numeric(19),",,,,a,,DQ TOS Term for Convenience Notice DD,,,
"   dq_tos_commitment__c numeric(19),",,,,a,,DQ TOS Commitment,,,
"   dq_volume_guarantee__c numeric(19),",,,,a,,DQ Volume Guarantee,,,
"   dq_global_permitted__c numeric(19),",,,,a,,DQ Global Permitted,,,
"   dq_tos_price_incr_during_initial_term__c numeric(19),",,,,a,,DQ TOS Price Incr During Initial Term,,,
"   dq_coding_term_months__c numeric(19),",,,,a,,DQ Coding Term Months,,,
"   dq_tos_price_increase__c numeric(19),",,,,a,,DQ TOS Price Increase,,,
"   dq_coding_term_for_convenience__c numeric(19),",,,,a,,DQ Coding Term for Convienence,,,
"   dq_coding_term_for_conv_notice_dd__c numeric(19),",,,,a,,DQ Coding Term for Conv Notice DD,,,
"   dq_coding_commitment__c numeric(19),",,,,a,,DQ Coding Commitment,,,
"   dq_coding_global_permitted__c numeric(19),",,,,a,,DQ Coding Global Permitted,,,
"   dq_coding_price_increase__c numeric(19),",,,,a,,DQ Coding Price Increase,,,
"   dq_general_terms_and_conditions__c numeric(19),",,,,a,,DQ General Terms and Conditions,,,
"   tos_price_book_rate_v2__c varchar(255),",,,,s,,TOS Price Book Rate,,,
"   dq_tos_price_book_rate__c numeric(19),",,,,a,,DQ TOS Price Book Rate,,,
"   coding_price_book_rate__c varchar(255),",,,enum,s,tos_price_book_rate_list,,,,
"   dq_coding_price_book_rate__c numeric(19),",,,,a,,DQ Coding Price Book Rate,,,
"   dq_payment_type__c numeric(19),",,,,a,,DQ Payment Type,,,
"   dq_product_gma_term_months__c numeric(19),",,,,a,,DQ Product GMA Term Months,,,
"   dq_support_term_for_convenience__c numeric(19),",,,enum,a,tos_term_for_conv_list,,,,
"   dq_cap_support_term_for_conv_notice_dd__c numeric(19),",,,,a,,DQ Cap Support Term for Conv Notice DD,,,
"   dq_cap_gma_pricing_discount__c numeric(19),",,,,a,,DQ Cap GMA Pricing Discount,,,
"   dq_cap_cia_pricing_discount__c numeric(19),",,,,a,,DQ Cap CIA Pricing Discount,,,
"   dq_f1_tos_term_for_conv__c numeric(19),",,,,a,,DQ F1 TOS Term for Conv,,,
"   dq_f1_tos_term_mm__c numeric(19),",,,,a,,DQ F1 Tos Term MM,,,
"   dq_f1_tos_term_for_conv_notice_dd__c numeric(19),",,,,a,,DQ F1 TOS Term for Conv Notice DD,,,
"   dq_f1_support_term_for_conv__c numeric(19),",,,,a,,DQ F1 Support Term for Conv,,,
"   dq_f1_tos_commitment__c numeric(19),",,,,a,,DQ F1 TOS Commitment,,,
"   dq_f1_global_permitted__c numeric(19),",,,,a,,DQ F1 Global Permitted,,,
"   software_pricing_discount_picklist__c varchar(255),",,,,a,,,,,
"   dq_f1_software_pricing_discount__c numeric(19),",,,,a,,DQ F1 Software Pricing Discount,,,
"   dq_f1_standard_prod_billing_terms__c numeric(19),",,,,a,,DQ F1 Standard Prod Billing Terms,,,
"   dq_f1_prod_pricing_incr__c numeric(19),",,,,a,,DQ F1 Prod Pricing Incr,,,
"   dq_cap_software_pricing_disc__c numeric(19),",,,,a,,DQ Cap Software Pricing Disc,,,
"   dq_cap_professional_services_discount__c numeric(19),",,,,a,,DQ Cap Professional Services Discount,,,
"   dq_standard_prod_billing_terms__c numeric(19),",,,,a,,DQ Standard Prod Billing Terms,,,
"   dq_subs_prod_term_months__c numeric(19),",,,,a,,DQ Subs Prod Term Months,,,
"   dq_subs_prod_subs_auto_renewal__c numeric(19),",,,,a,,DQ Subs Prod Subs Auto Renewal,,,
"   dq_subs_prod_term_for_conv_notice_dd__c numeric(19),",,,,a,,DQ Subs Prod Term for Conv Notice DD,,,
"   dq_subs_software_pricing_discount__c numeric(19),",,,,a,,DQ Subs Software Pricing Discount,,,
"   dq_subs_professional_services_discount__c numeric(19),",,,,a,,DQ Subs Professional Services Discount,,,
"   dq_subs_cia_pricing_discount__c numeric(19),",,,,a,,DQ Subs CIA Pricing Discount,,,
"   dq_subs_standard_prod_billing_terms__c numeric(19),",,,,a,,DQ Subs Standard Prod Billing Terms,,,
"   dq_subs_prod_pricing_incr__c numeric(19),",,,,a,,DQ Subs Prod Pricing Incr,,,
"   dq_coding_total__c numeric(19),",,,,a,,DQ Coding Total,,,
"   dq_cap_total__c numeric(19),",,,,a,,DQ Cap Total,,,
"   dq_subs_total__c numeric(19),",,,,a,,DQ Subs Total,,,
"   dq_tos_total__c numeric(19),",,,,a,,DQ TOS Total,,,
"   dq_payment_total__c numeric(19),",,,,a,,DQ Payment Total,,,
"   dq_f1_total__c numeric(19),",,,,a,,DQ F1 Total,,,
   dq_total__c numeric(19),,,,a,,DQ Total,,,
baa_effective_date__c date,,,,a,,BAA Effective Date,,,
dq_subs_product_term_for_conv__c real,,,,a,,DQ Subs Product Term for Conv,,,
type_of_scribing__c text,,,enum,s,type_of_scribing_list,Type Of Scribing,,,
virtual_sciribing_renewal_start_date__c date,,,,s,,,,,
virtual_scribing_auto_renew__c bool,,,,s,,,,,
virtual_scribing_billing__c text,,,enum,s,tos_billing_list,,,,
virtual_scribing_commitment__c text,,,,s,,,,,
virtual_scribing_doc__c text,,,,s,,,,,
virtual_scribing_effective_date__c date,,,,s,,,,,
virtual_scribing_evergreen__c bool,,,,s,,,,,
virtual_scribing_expiration_date__c date,,,,s,,,,,
virtual_scribing_general_notes__c text,,,,s,,,,,
virtual_scribing_global_permissions__c text,,,enum,s,global_permissions_list,,,,
virtual_scribing_global_permitted__c bool,,,,s,,,,,
virtual_scribing_minimum_hours_language__c bool,,,,s,,,,,
virtual_scribing_price_book_rate__c text,,,enum,s,tos_price_book_rate_list,,,,
virtual_scribing_pricing__c text,,,,s,,,,,
virtual_scribing_pricing_increase__c text,,,enum,s,pricing_increase_list,,,,
virtual_scribing_renewal_term_mm__c real,,,,s,,Virtual Scribing Reneal Term MM,,,
virtual_scribing_renewal_terms__c text,,,,s,,,,,
virtual_scribing_revenue__c real,,,,s,,,,,
virtual_scribing_term_for_convenience__c text,,,enum,s,the30_60_90_list,,,,
virtual_scribing_term_mm__c real,,,,s,,Virtual Scribing Term MM,,,
virtual_scribing_term_prior_to_renewal__c bool,,,,s,,,,,
vs_term_for_conv_notice_dd__c real,,,,s,,VS Term for Conv Notice DD,,,
vs_term_prior_to_renewal_dd__c real,,,,s,,VS Term Prior to Renewal DD,,,
sf_id_c varchar(18) NOT NULL,,,,s,,,,,
sf_id_c varchar(18) NOT NULL,,,,p,,,,,
deal_quality_report_c varchar(255),,,,a,,,,,
